date,day,month,count,candidate
2015-05-18,Mon,May,3,Hillary Clinton
2015-05-19,Tue,May,3,Hillary Clinton
2015-05-20,Wed,May,9,Hillary Clinton
2015-05-21,Thu,May,18,Hillary Clinton
2015-05-22,Fri,May,5,Hillary Clinton
2015-05-23,Sat,May,1,Hillary Clinton
2015-05-24,Sun,May,0,Hillary Clinton
2015-05-25,Mon,May,2,Hillary Clinton
2015-05-26,Tue,May,3,Hillary Clinton
2015-05-27,Wed,May,8,Hillary Clinton
2015-05-28,Thu,May,3,Hillary Clinton
2015-05-29,Fri,May,3,Hillary Clinton
2015-05-30,Sat,May,3,Hillary Clinton
2015-05-31,Sun,May,2,Hillary Clinton
2015-06-01,Mon,June,7,Hillary Clinton
2015-06-02,Tue,June,3,Hillary Clinton
2015-06-03,Wed,June,3,Hillary Clinton
2015-06-04,Thu,June,20,Hillary Clinton
2015-06-05,Fri,June,1,Hillary Clinton
2015-06-06,Sat,June,4,Hillary Clinton
2015-06-07,Sun,June,4,Hillary Clinton
2015-06-08,Mon,June,3,Hillary Clinton
2015-06-09,Tue,June,4,Hillary Clinton
2015-06-10,Wed,June,6,Hillary Clinton
2015-06-11,Thu,June,4,Hillary Clinton
2015-06-12,Fri,June,1,Hillary Clinton
2015-06-13,Sat,June,62,Hillary Clinton
2015-06-14,Sun,June,7,Hillary Clinton
2015-06-15,Mon,June,5,Hillary Clinton
2015-06-16,Tue,June,3,Hillary Clinton
2015-06-17,Wed,June,10,Hillary Clinton
2015-06-18,Thu,June,3,Hillary Clinton
2015-06-19,Fri,June,9,Hillary Clinton
2015-06-20,Sat,June,2,Hillary Clinton
2015-06-21,Sun,June,4,Hillary Clinton
2015-06-22,Mon,June,3,Hillary Clinton
2015-06-23,Tue,June,1,Hillary Clinton
2015-06-24,Wed,June,5,Hillary Clinton
2015-06-25,Thu,June,6,Hillary Clinton
2015-06-26,Fri,June,5,Hillary Clinton
2015-06-27,Sat,June,0,Hillary Clinton
2015-06-28,Sun,June,0,Hillary Clinton
2015-06-29,Mon,June,5,Hillary Clinton
2015-06-30,Tue,June,4,Hillary Clinton
2015-07-01,Wed,July,8,Hillary Clinton
2015-07-02,Thu,July,3,Hillary Clinton
2015-07-03,Fri,July,2,Hillary Clinton
2015-07-04,Sat,July,2,Hillary Clinton
2015-07-05,Sun,July,5,Hillary Clinton
2015-07-06,Mon,July,4,Hillary Clinton
2015-07-07,Tue,July,3,Hillary Clinton
2015-07-08,Wed,July,6,Hillary Clinton
2015-07-09,Thu,July,8,Hillary Clinton
2015-07-10,Fri,July,4,Hillary Clinton
2015-07-11,Sat,July,4,Hillary Clinton
2015-07-12,Sun,July,3,Hillary Clinton
2015-07-13,Mon,July,45,Hillary Clinton
2015-07-14,Tue,July,4,Hillary Clinton
2015-07-15,Wed,July,3,Hillary Clinton
2015-07-16,Thu,July,2,Hillary Clinton
2015-07-17,Fri,July,4,Hillary Clinton
2015-07-18,Sat,July,3,Hillary Clinton
2015-07-19,Sun,July,2,Hillary Clinton
2015-07-20,Mon,July,4,Hillary Clinton
2015-07-21,Tue,July,11,Hillary Clinton
2015-07-22,Wed,July,5,Hillary Clinton
2015-07-23,Thu,July,4,Hillary Clinton
2015-07-24,Fri,July,10,Hillary Clinton
2015-07-25,Sat,July,1,Hillary Clinton
2015-07-26,Sun,July,19,Hillary Clinton
2015-07-27,Mon,July,4,Hillary Clinton
2015-07-28,Tue,July,4,Hillary Clinton
2015-07-29,Wed,July,5,Hillary Clinton
2015-07-30,Thu,July,7,Hillary Clinton
2015-07-31,Fri,July,12,Hillary Clinton
2015-08-01,Sat,August,3,Hillary Clinton
2015-08-02,Sun,August,2,Hillary Clinton
2015-08-03,Mon,August,9,Hillary Clinton
2015-08-04,Tue,August,2,Hillary Clinton
2015-08-05,Wed,August,4,Hillary Clinton
2015-08-06,Thu,August,6,Hillary Clinton
2015-08-07,Fri,August,17,Hillary Clinton
2015-08-08,Sat,August,0,Hillary Clinton
2015-08-09,Sun,August,1,Hillary Clinton
2015-08-10,Mon,August,7,Hillary Clinton
2015-08-11,Tue,August,8,Hillary Clinton
2015-08-12,Wed,August,10,Hillary Clinton
2015-08-13,Thu,August,5,Hillary Clinton
2015-08-14,Fri,August,3,Hillary Clinton
2015-08-15,Sat,August,4,Hillary Clinton
2015-08-16,Sun,August,4,Hillary Clinton
2015-08-17,Mon,August,7,Hillary Clinton
2015-08-18,Tue,August,10,Hillary Clinton
2015-08-19,Wed,August,7,Hillary Clinton
2015-08-20,Thu,August,5,Hillary Clinton
2015-08-21,Fri,August,6,Hillary Clinton
2015-08-22,Sat,August,1,Hillary Clinton
2015-08-23,Sun,August,1,Hillary Clinton
2015-08-24,Mon,August,10,Hillary Clinton
2015-08-25,Tue,August,8,Hillary Clinton
2015-08-26,Wed,August,6,Hillary Clinton
2015-08-27,Thu,August,12,Hillary Clinton
2015-08-28,Fri,August,10,Hillary Clinton
2015-08-29,Sat,August,5,Hillary Clinton
2015-08-30,Sun,August,2,Hillary Clinton
2015-08-31,Mon,August,2,Hillary Clinton
2015-09-01,Tue,September,6,Hillary Clinton
2015-09-02,Wed,September,7,Hillary Clinton
2015-09-03,Thu,September,8,Hillary Clinton
2015-09-04,Fri,September,3,Hillary Clinton
2015-09-05,Sat,September,10,Hillary Clinton
2015-09-06,Sun,September,1,Hillary Clinton
2015-09-07,Mon,September,7,Hillary Clinton
2015-09-08,Tue,September,6,Hillary Clinton
2015-09-09,Wed,September,13,Hillary Clinton
2015-09-10,Thu,September,4,Hillary Clinton
2015-09-11,Fri,September,4,Hillary Clinton
2015-09-12,Sat,September,5,Hillary Clinton
2015-09-13,Sun,September,5,Hillary Clinton
2015-09-14,Mon,September,12,Hillary Clinton
2015-09-15,Tue,September,5,Hillary Clinton
2015-09-16,Wed,September,7,Hillary Clinton
2015-09-17,Thu,September,28,Hillary Clinton
2015-09-18,Fri,September,12,Hillary Clinton
2015-09-19,Sat,September,6,Hillary Clinton
2015-09-20,Sun,September,7,Hillary Clinton
2015-09-21,Mon,September,8,Hillary Clinton
2015-09-22,Tue,September,13,Hillary Clinton
2015-09-23,Wed,September,7,Hillary Clinton
2015-09-24,Thu,September,10,Hillary Clinton
2015-09-25,Fri,September,7,Hillary Clinton
2015-09-26,Sat,September,4,Hillary Clinton
2015-09-27,Sun,September,4,Hillary Clinton
2015-09-28,Mon,September,4,Hillary Clinton
2015-09-29,Tue,September,9,Hillary Clinton
2015-09-30,Wed,September,5,Hillary Clinton
2015-10-01,Thu,October,5,Hillary Clinton
2015-10-02,Fri,October,10,Hillary Clinton
2015-10-03,Sat,October,13,Hillary Clinton
2015-10-04,Sun,October,7,Hillary Clinton
2015-10-05,Mon,October,12,Hillary Clinton
2015-10-06,Tue,October,8,Hillary Clinton
2015-10-07,Wed,October,10,Hillary Clinton
2015-10-08,Thu,October,10,Hillary Clinton
2015-10-09,Fri,October,5,Hillary Clinton
2015-10-10,Sat,October,3,Hillary Clinton
2015-10-11,Sun,October,7,Hillary Clinton
2015-10-12,Mon,October,6,Hillary Clinton
2015-10-13,Tue,October,6,Hillary Clinton
2015-10-14,Wed,October,55,Hillary Clinton
2015-10-15,Thu,October,17,Hillary Clinton
2015-10-16,Fri,October,14,Hillary Clinton
2015-10-17,Sat,October,5,Hillary Clinton
2015-10-18,Sun,October,2,Hillary Clinton
2015-10-19,Mon,October,7,Hillary Clinton
2015-10-20,Tue,October,8,Hillary Clinton
2015-10-21,Wed,October,9,Hillary Clinton
2015-10-22,Thu,October,39,Hillary Clinton
2015-10-23,Fri,October,12,Hillary Clinton
2015-10-24,Sat,October,18,Hillary Clinton
2015-10-25,Sun,October,22,Hillary Clinton
2015-10-26,Mon,October,4,Hillary Clinton
2015-10-27,Tue,October,9,Hillary Clinton
2015-10-28,Wed,October,9,Hillary Clinton
2015-10-29,Thu,October,35,Hillary Clinton
2015-10-30,Fri,October,11,Hillary Clinton
2015-10-31,Sat,October,6,Hillary Clinton
2015-11-01,Sun,November,5,Hillary Clinton
2015-11-02,Mon,November,6,Hillary Clinton
2015-11-03,Tue,November,9,Hillary Clinton
2015-11-04,Wed,November,7,Hillary Clinton
2015-11-05,Thu,November,10,Hillary Clinton
2015-11-06,Fri,November,8,Hillary Clinton
2015-11-07,Sat,November,19,Hillary Clinton
2015-11-08,Sun,November,5,Hillary Clinton
